"STATISTIC","Statistic","TLIST(A1)","Year","C02069V02500","Type of Fertiliser","UNIT","VALUE"
"AJA05","Fertiliser Price","1980","1980","001","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","126"
"AJA05","Fertiliser Price","1980","1980","002","Urea (46% N)","Euro per Tonne","159"
"AJA05","Fertiliser Price","1980","1980","004","Granular Superphosphate (16% P)","Euro per Tonne","170"
"AJA05","Fertiliser Price","1980","1980","006","Muriate of Potash (50% K)","Euro per Tonne","114"
"AJA05","Fertiliser Price","1980","1980","007","Compound 0-10-20","Euro per Tonne","138"
"AJA05","Fertiliser Price","1980","1980","008","Compound 0-7-30","Euro per Tonne","135"
"AJA05","Fertiliser Price","1980","1980","009","Compound 7-6-17","Euro per Tonne","161"
"AJA05","Fertiliser Price","1980","1980","010","Compound 10-10-20","Euro per Tonne","171"
"AJA05","Fertiliser Price","1980","1980","011","Compound 14-7-14","Euro per Tonne","161"
"AJA05","Fertiliser Price","1980","1980","012","Compound 18-6-12","Euro per Tonne","163"
"AJA05","Fertiliser Price","1980","1980","013","Compound 24-2.5-10","Euro per Tonne","166"
"AJA05","Fertiliser Price","1980","1980","014","Compound 27-2.5-5","Euro per Tonne","162"
"AJA05","Fertiliser Price","1980","1980","015","Sulphate of Potash (42% K)","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","016","Compound 8-5-18","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","017","Compound 20-4-10","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","018","Sulphate of Ammonia (21%)","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","019","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","020","Compound 10-5-25","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","021","Compound 13-6-20","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","022","Compound 15-3-20","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","023","Compound 24-2.2-10","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","024","Compound 24-2.2-4.5","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","026","Compound 19-0-15","Euro per Tonne",""
"AJA05","Fertiliser Price","1980","1980","027","Compound 25-4-0","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","001","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","144"
"AJA05","Fertiliser Price","1981","1981","002","Urea (46% N)","Euro per Tonne","181"
"AJA05","Fertiliser Price","1981","1981","004","Granular Superphosphate (16% P)","Euro per Tonne","203"
"AJA05","Fertiliser Price","1981","1981","006","Muriate of Potash (50% K)","Euro per Tonne","135"
"AJA05","Fertiliser Price","1981","1981","007","Compound 0-10-20","Euro per Tonne","162"
"AJA05","Fertiliser Price","1981","1981","008","Compound 0-7-30","Euro per Tonne","159"
"AJA05","Fertiliser Price","1981","1981","009","Compound 7-6-17","Euro per Tonne","189"
"AJA05","Fertiliser Price","1981","1981","010","Compound 10-10-20","Euro per Tonne","197"
"AJA05","Fertiliser Price","1981","1981","011","Compound 14-7-14","Euro per Tonne","186"
"AJA05","Fertiliser Price","1981","1981","012","Compound 18-6-12","Euro per Tonne","186"
"AJA05","Fertiliser Price","1981","1981","013","Compound 24-2.5-10","Euro per Tonne","181"
"AJA05","Fertiliser Price","1981","1981","014","Compound 27-2.5-5","Euro per Tonne","178"
"AJA05","Fertiliser Price","1981","1981","015","Sulphate of Potash (42% K)","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","016","Compound 8-5-18","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","017","Compound 20-4-10","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","018","Sulphate of Ammonia (21%)","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","019","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","020","Compound 10-5-25","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","021","Compound 13-6-20","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","022","Compound 15-3-20","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","023","Compound 24-2.2-10","Euro per Tonne",""
"AJA05","Fertiliser Price","1981","1981","024","Compound 24-2.2-4.5","Euro per Tonne",""
