,Year,fertiliser_pca
0,1980,-338.8254805899998
1,1981,-274.222814392916
2,1982,-241.82583059999797
3,1983,-238.50176842339874
4,1984,-185.37344733095742
5,1985,-130.41728042016555
6,1986,-195.01832878330862
7,1987,-328.413539228435
8,1988,-286.2258511674305
9,1989,-241.91863061590175
10,1990,-247.63236188220046
11,1991,-240.88144001352333
12,1992,-247.1401350437124
13,1993,-280.9064519532851
14,1994,-264.8609105793849
15,1995,-219.56735223154294
16,1996,-188.37469140826659
17,1997,-217.62516915305847
18,1998,-241.95893419928754
19,1999,-226.1834257381464
20,2000,-200.45491102701646
21,2001,-122.13158536796853
22,2002,-134.73059489830274
23,2003,-121.00354747419077
24,2004,-103.36379328185161
25,2005,-61.29470730173764
26,2006,-16.335662685725303
27,2007,17.819965791738603
28,2008,628.1004223280211
29,2009,471.9664860398937
30,2010,264.0987072479553
31,2011,461.6924209640384
32,2012,518.6093787407156
33,2013,506.58563906910217
34,2014,431.4289031030062
35,2015,438.6392752910534
36,2016,297.1004773880867
37,2017,234.35702688416652
38,2018,277.3002363877896
39,2019,334.61845115873115
40,2020,238.16709403188764
41,2021,474.7041613655264
