YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
2014,Boyne,BEEF,C,0,0,0,3,199,504,3929,57144
2020,Doonbeg,BEEF,C,0,0,0,0,11,41,312,5863
2019,Ilen,BEEF,C,0,0,0,0,12,78,473,6794
2019,Boyne,BEEF,F,1477,7816,33166,9312,35995,7049,7915,1680
2014,Boyne,BEEF,F,1490,8008,33775,9525,36253,7203,8138,1764
2018,Dargle,DAIRY,C,0,0,0,0,0,11,40,396
2019,Inny,DAIRY,C,0,0,0,0,29,155,3165,15269
2017,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
2015,Dargle,DAIRY,M,10,21,37,7,31,4,8,1
2019,Nore,BEEF,C,0,0,0,2,191,604,4345,56670
2015,Nore,BEEF,C,0,0,0,2,179,600,4308,56931
2019,Boyne,DAIRY,C,0,0,0,0,87,1017,8137,51985
2015,Boyne,BEEF,F,1466,7870,33444,9477,35847,7141,7953,1713
2019,Nore,DAIRY,F,502,1541,27124,2068,26825,1728,5301,742
2018,Gweebarra,BEEF,F,6,70,235,62,156,20,57,10
2017,Nore,BEEF,M,1701,8469,40247,9402,37359,4956,5536,2805
2016,Nore,BEEF,M,1685,8550,40446,9477,37666,4935,5473,2797
2018,Moy,BEEF,M,747,4000,15591,2689,9773,1226,1465,1248
2020,Ilen,BEEF,M,287,985,4574,838,2332,337,383,362
2018,Boyne,BEEF,C,0,0,0,3,199,489,3823,55737
2017,Dargle,DAIRY,C,0,0,0,0,0,11,32,316
2015,Ilen,DAIRY,F,98,358,4816,460,4722,478,1010,191
2019,Gweebarra,DAIRY,F,0,1,12,0,18,0,0,0
2017,Ilen,BEEF,M,285,1005,4586,829,2430,349,388,368
2018,Erriff,BEEF,M,17,68,209,20,59,13,9,19
2017,Erriff,DAIRY,M,0,0,116,5,131,6,5,2
2018,Vartry,DAIRY,M,23,101,115,74,130,66,57,11
2014,Vartry,BEEF,F,61,281,956,356,1098,153,241,63
2017,Ilen,BEEF,C,0,0,0,0,12,76,471,6773
2017,Moy,DAIRY,F,166,402,2222,462,2164,423,749,292
2019,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
2017,Dodder,DAIRY,F,0,17,174,13,148,17,9,1
2016,Doonbeg,DAIRY,M,5,39,885,20,731,9,161,29
2020,Ilen,DAIRY,M,103,304,1613,407,1457,95,214,36
2017,Nore,BEEF,C,0,0,0,2,193,602,4338,56858
2015,Ilen,DAIRY,C,0,0,0,0,29,109,3237,16725
2014,Currane,BEEF,C,0,0,0,0,1,11,81,1213
2017,Vartry,DAIRY,F,36,100,183,164,202,117,73,35
2016,Inny,DAIRY,F,257,673,5265,767,5387,745,1333,245
2017,Currane,DAIRY,C,0,0,0,0,0,0,3,33
2016,Boyne,BEEF,M,1482,8096,32758,8398,29687,5673,8629,3506
2019,Inny,DAIRY,M,221,502,2028,511,2103,289,417,123
2014,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
2019,Doonbeg,BEEF,F,119,474,2495,321,1392,254,533,140
2014,Doonbeg,DAIRY,F,10,34,1765,55,1671,25,453,67
2017,Gweebarra,BEEF,C,0,0,0,0,0,0,51,714
2014,Nore,DAIRY,F,465,1546,27385,1976,26911,1643,5204,781
2019,Erriff,DAIRY,F,0,0,20,0,70,9,7,2
2017,Gweebarra,DAIRY,F,0,1,12,0,17,0,0,0
2018,Currane,BEEF,M,32,220,173,50,61,26,27,45
2014,Currane,BEEF,M,33,213,182,51,55,25,27,42
2017,Doonbeg,DAIRY,M,5,39,892,24,733,9,161,29
2014,Erriff,DAIRY,M,0,0,26,0,70,0,3,1
2016,Dargle,DAIRY,M,10,21,37,7,31,4,8,1
2015,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
2015,Vartry,BEEF,C,0,0,0,0,7,17,178,1820
2019,Erriff,BEEF,C,0,0,0,0,2,3,29,696
2015,Gweebarra,BEEF,C,0,0,0,0,0,0,50,717
2017,Nore,DAIRY,F,511,1542,27225,2060,26834,1683,5304,761
2014,Erriff,DAIRY,F,0,0,0,0,1,1,0,0
2015,Currane,DAIRY,F,0,0,3,0,3,0,0,0
2018,Dodder,BEEF,M,11,88,151,60,66,18,16,28
2014,Vartry,DAIRY,M,33,105,109,80,133,62,55,16
2018,Nore,DAIRY,C,0,0,0,0,139,322,15961,71211
2019,Moy,BEEF,C,0,0,0,0,79,236,2571,42015
2014,Moy,BEEF,C,0,0,0,0,79,237,2606,42994
2019,Inny,BEEF,F,666,3885,14665,3634,13404,2494,3798,766
2015,Boyne,BEEF,M,1465,8035,32896,8439,29866,5734,8681,3526
2014,Doonbeg,BEEF,M,118,559,2289,291,1270,184,300,290
2019,Vartry,BEEF,M,43,241,832,153,548,72,126,76
2017,Vartry,BEEF,C,0,0,0,0,9,17,182,1792
2020,Dodder,BEEF,C,0,0,0,0,2,8,44,648
2020,Vartry,BEEF,F,61,293,1023,348,1177,143,241,63
2016,Ilen,DAIRY,C,0,0,0,0,28,107,3227,16674
2014,Dodder,DAIRY,C,0,0,0,0,0,11,31,256
2018,Doonbeg,DAIRY,F,10,34,1760,55,1671,25,451,66
